Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~TinyArduino.PrjPCB|ReportField=ProjectFullPath~C:\Users\Usuario\Desktop\ProyectosAltium\TinyArduino\TinyArduino.PrjPCB|ReportField=Title~Bill of Materials For Project [TinyArduino.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~21:48:23|ReportField=ReportDate~22/10/2018|ReportField=ReportDateTime~22/10/2018 21:48:23|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~13|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~A1|ReportField=Address2~A2|ReportField=Address3~A3|ReportField=Address4~A4|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Emilio Calabuig Martínez|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~22/10/2018|ReportField=CurrentTime~21:47:36|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Usuario\Desktop\ProyectosAltium\TinyArduino\TinyArduino.SchDoc|ReportField=DocumentName~TinyArduino.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~21/10/2018|ReportField=Organization~ecm163|ReportField=ProjectName~TinyArduino.PrjPCB|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~EjercicioTinyArduino|ReportField=DataSourceFileName~TinyArduino.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Usuario\Desktop\ProyectosAltium\TinyArduino\TinyArduino.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|0603YC104JAT2A|Imported|C1|CAPC1608X90X35NL15T15|0603YC104JAT2A|1
2|Diodes Inc. B0540WS-7|DIODE SCHOTTKY 40V 500MA SOD323|D1, D2|PCB-6tqbiewd2diqb4h5r69p-1|B0540WS-7|2
3|ZX62R-B-5P|Connector; USBMicro-B,Reverse type, SMT; 5 Position; Right Angle|J1|HIRO-ZX62R-B-5P_V|ZX62R-B-5P|1
4|Conn_Molex_90120-0764_eec|CONN 4 Positions Header, Breakaway Connector 0.100" (2.54mm) Through Hole Gold|J2, J3|Molex_90120-0764_0|Conn_Molex_90120-0764_eec|2
5|LED_AvagoHSMG-C190||LED|AVAG-HSMX-C190|LED_AvagoHSMG-C190|1
6|Res_Vishay_CRCW06031K50FKEA_eec|RES 1.5k Ohm ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film|R1|RESC1609X50X30LL10T20|Res_Vishay_CRCW06031K50FKEA_eec|1
7|CRCW060368R0JNEA|RES SMD 68 OHM 5% 1/10W 0603|R2, R3|RESC1609X50X30ML10T20|CRCW060368R0JNEA|2
8|CRCW0603390RFKEA|Imported|R4|RESC1609X50X30LL10T20|CRCW0603390RFKEA|1
9|CRCW06030000Z0EA|0Ω 1%|R5|RESC1609X50X30LL10T20|CRCW06030000Z0EA|1
10|ATTINY85-20SU|8-bit AVR Microcontroller, 20MHz, 2.7-5.5V, 8K Flash, 512 Bytes EEPROM, 512 Bytes SRAM, Industrial Grade (-40°C to 85°C), 8-Lead SOIC, Pb-Free|U1|8S2_L|ATTINY85-20SU|1
